ticker,education_name,matched_name,method,score
IRAO,Бугров Андрей Евгеньевич,Бугров Андрей Евгеньевич,exact,100.0
IRAO,Быстров Максим Сергеевич,Быстров Максим Сергеевич,exact,100.0
IRAO,Гавриленко Анатолий Анатольевич,Гавриленко Анатолий Анатольевич,exact,100.0
IRAO,Дрегваль Сергей Георгиевич,Дрегваль Сергей Георгиевич,exact,100.0
IRAO,Локшин Александр Маркович,Локшин Александр Маркович,exact,100.0
IRAO,Миловидов Владимир Дмитриевич,Миловидов Владимир Дмитриевич,exact,100.0
IRAO,Муров Андрей Евгеньевич,Муров Андрей Евгеньевич,exact,100.0
IRAO,Опадчий Фёдор Юрьевич,Опадчий Фёдор Юрьевич,exact,100.0
IRAO,Сечин Игорь Иванович,Сечин Игорь Иванович,exact,100.0
IRAO,Федоров Денис Владимирович,Федоров Денис Владимирович,exact,100.0
IRAO,Шугаев Дмитрий Евгеньевич,Шугаев Дмитрий Евгеньевич,exact,100.0
IVAT,Батыров Ренат Рафикович,Батыров Ренат Рафикович,exact,100.0
IVAT,Зокин Андрей Александрович,Зокин Андрей Александрович,exact,100.0
IVAT,Иодковский Станислав Эрикович,,unmatched,0.0
IVAT,Манойло Андрей Федорович,Манойло Андрей Федорович,exact,100.0
IVAT,Петров Виктор Александрович,Петров Виктор Александрович,exact,100.0
IVAT,Смирнов Максим Сергеевич,Смирнов Максим Сергеевич,exact,100.0
IVAT,Смирнов Павел Игоревич,Смирнов Павел Игоревич,exact,100.0
IVAT,Терентьев Евгений Викторович,Терентьев Евгений Викторович,exact,100.0
IVAT,Черных Сергей Дмитриевич,Черных Сергей Дмитриевич,exact,100.0
KAZT,Аникушин Сергей Александрович,Аникушин Сергей Александрович,exact,100.0
KAZT,Ардамаков Сергей Витальевич,Ардамаков Сергей Витальевич,exact,100.0
KAZT,Бобровский Сергей Викторович,Бобровский Сергей Викторович,exact,100.0
KAZT,Былинин Андрей Николаевич,Былинин Андрей Николаевич,exact,100.0
KAZT,Герасименко Александр Викторович,Герасименко Александр Викторович,exact,100.0
KAZT,Герасименко Виктор Иванович,Герасименко Виктор Иванович,exact,100.0
KAZT,Кудашев Виктор Николаевич,Кудашев Виктор Николаевич,exact,100.0
KAZT,Кудрявцев Виктор Петрович,Кудрявцев Виктор Петрович,exact,100.0
KAZT,Огарков Анатолий Аркадьевич,Огарков Анатолий Аркадьевич,exact,100.0
KAZT,Рачин Константин Геннадьевич,Рачин Константин Геннадьевич,exact,100.0
KAZT,Рыбкин Дмитрий Васильевич,Рыбкин Дмитрий Васильевич,exact,100.0
KAZT,Туманов Сергей Александрович,Туманов Сергей Александрович,exact,100.0
KAZT,Шульженко Юрий Григорьевич,Шульженко Юрий Григорьевич,exact,100.0
KZOS,Сафин Айрат Фоатович,Сафин Айрат Фоатович,exact,100.0
LEAS,Мизюра Сергей Николаевич,Мизюра Сергей Николаевич,exact,100.0
LENT,Сорокин Владимир Леонидович,Сорокин Владимир Леонидович,exact,100.0
LKOH,Кочкуров Сергей Алексеевич,Кочкуров Сергей Алексеевич,exact,100.0
LSNGP,Денисов Игорь Вадимович,Денисов Игорь Вадимович,exact,100.0
LSNGP,Казаев Владимир Александрович,Казаев Владимир Александрович,exact,100.0
LSNGP,Котвицкий Константин Валерьевич,Котвицкий Константин Валерьевич,exact,100.0
LSNGP,Краинский Даниил Владимирович,Краинский Даниил Владимирович,exact,100.0
